date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2017-02-28,25.3,26.33,25.78,24.53,4888939.0,0.42,1.66,24.702,23.131,21.012,5351929.6,4403866.15,5483497.25
2017-01-26,23.57,25.76,25.36,23.57,4586259.0,1.91,8.14,23.918,22.586,20.852,4946062.5,4175362.8,6424022.7
2016-12-30,25.44,26.17,23.45,22.56,7170213.5,-1.79,-7.09,23.262,22.057,20.783,4929801.2,4139975.45,7497666.85
2016-11-30,23.75,26.55,25.24,23.03,7687872.5,1.56,6.59,23.23,21.545,20.961,4623322.7,3602180.99,8672304.27
2016-10-31,21.97,23.97,23.68,21.96,2426364.0,1.82,8.33,22.238,20.884,20.942,3458594.75,3153324.59,9159199.55
2016-09-30,22.1,22.23,21.86,20.93,2859603.5,-0.22,-1.0,21.56,20.64,20.976,3455802.7,3402448.29,9456284.9
2016-08-31,23.18,24.35,22.08,22.0,4504952.5,-1.21,-5.2,21.254,20.367,21.015,3404663.1,3629332.29,10268587.92
2016-07-29,20.35,24.36,23.29,19.6,5637821.0,3.01,14.84,20.852,19.936,20.985,3350149.7,3212900.14,11086114.9
2016-06-30,20.35,20.68,20.28,19.88,1864232.75,-0.01,-0.05,19.86,19.287,20.809,2581039.28,3250338.99,11357971.2
2016-05-31,20.3,20.64,20.29,19.51,2412403.75,-0.04,-0.2,19.53,18.994,20.688,2848054.43,4109669.32,11566865.31
2016-04-29,20.05,21.04,20.33,19.46,2603905.5,0.26,1.29,19.72,18.892,20.578,3349093.88,6563128.34,11817373.35
2016-03-31,18.32,20.22,20.07,18.1,4232385.5,1.74,9.49,19.48,19.118,20.408,3854001.48,8672682.59,12066578.02
2016-02-29,18.65,19.03,18.33,17.66,1792268.88,-0.3,-1.61,19.02,19.509,20.219,3075650.59,10855358.24,12332990.1
2016-01-29,21.1,21.2,18.63,17.6,3199308.5,-2.61,-12.29,18.714,20.376,20.067,3919638.71,13742427.56,12485751.63
2015-12-31,19.05,22.1,21.24,19.01,4917601.0,2.11,11.03,18.458,20.999,19.866,5371284.21,15165074.51,12538670.1
2015-11-30,19.55,21.47,19.13,18.7,5128443.5,1.36,7.65,18.064,21.311,19.53,9777162.81,15510121.51,12735304.55
2015-10-08,17.55,18.07,17.77,17.55,340631.06,0.97,5.77,18.756,21.663,19.266,13491363.71,16907843.56,12973714.63
2015-09-30,16.86,18.98,16.8,16.04,6012209.5,-0.55,-3.17,19.998,22.033,19.012,18635065.9,18959329.65,13315823.38
2015-08-31,19.26,20.43,17.35,14.0,10457536.0,-1.92,-9.96,22.038,22.331,18.821,23565216.4,19465603.4,13332938.58
2015-07-31,22.1,27.36,19.27,18.75,26946994.0,-3.32,-14.7,23.54,22.382,18.661,24958864.8,19024061.3,13173542.33
2015-06-30,24.0,26.87,22.59,19.25,23699448.0,-1.39,-5.8,24.558,22.263,18.466,21243080.2,17071618.35,12351513.73
2015-05-29,27.07,27.48,23.98,23.62,26059142.0,-3.02,-11.19,24.57,21.697,18.054,20324323.4,15460473.45,11631243.83
2015-04-30,24.86,29.18,27.0,24.78,30662962.0,2.14,8.61,24.068,20.928,17.531,19283593.4,13810621.95,10867795.13
2015-03-31,24.48,25.98,24.86,22.22,17425778.0,0.5,2.05,22.624,19.758,16.834,15365990.4,11229075.7,9833617.73
2015-02-27,22.25,25.12,24.36,21.66,8368071.0,1.71,7.55,21.224,18.732,16.203,13089257.8,9912265.7,9248113.35
2015-01-30,21.7,25.98,22.65,21.69,19105664.0,1.18,5.5,19.968,17.748,15.646,12900156.5,9960487.6,9075399.28
2014-12-31,19.6,24.3,21.47,19.3,20855492.0,1.69,8.54,18.824,16.868,15.295,10596623.5,9039585.7,8575055.63
2014-11-28,17.92,20.75,19.78,17.31,11074947.0,1.92,10.75,17.788,15.991,14.966,8337650.5,7672317.1,7773104.53
2014-10-31,18.1,18.35,17.86,16.71,6042115.0,-0.22,-1.22,16.892,15.311,14.717,7092161.0,7200273.75,7528348.9
2014-09-30,17.05,18.87,18.08,17.0,7422564.5,1.15,6.79,16.24,14.939,14.666,6735273.6,7323023.35,7492244.45
2014-08-29,16.19,17.49,16.93,15.74,7587999.0,0.64,3.93,15.528,14.669,14.606,7020818.7,7631409.1,7436453.63
2014-07-31,15.36,18.02,16.29,15.27,9560627.0,0.99,6.47,14.912,14.41,14.642,7482547.9,7802014.2,7356197.28
2014-06-30,14.62,15.86,15.3,14.28,4847499.5,0.7,4.79,14.194,14.134,14.531,7006983.7,7924968.3,7047737.14
2014-05-30,14.43,15.2,14.6,14.23,4257678.0,0.08,0.55,13.73,13.91,14.414,7308386.5,8438159.75,6925297.46
2014-04-30,13.9,15.16,14.52,13.72,8850290.0,0.67,4.84,13.638,13.674,14.361,7910773.1,8583961.0,6893154.51
2014-03-31,12.7,14.19,13.85,12.22,9896645.0,1.15,9.05,13.81,13.543,14.202,8241999.5,8190310.95,6608377.9
